DENSITY,DE,DE,DE,DE,DE,DE,ME,ME,ME,ME,ME,ME,SP,SP,SP,SP,SP,SP
TRAFFIC,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO
VIZ,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO
MAR-31-17-30,-0.12,1.61,-0.74,-0.15,-0.58,-0.53,-0.43,0.21,-0.52,-0.20,0.40,-0.41,0.04,-0.04,0.24,0.03,0.02,1.16
MAR-28-15-00,0.34,1.48,0.15,-0.38,-0.57,-0.42,-0.91,-0.61,-0.54,0.44,-0.65,0.57,0.56,0.99,-0.46,0.46,-0.18,-0.29
mean,0.15,-0.19,-0.49,-0.59,-0.47,-0.53,-0.06,0.11,0.13,-0.16,0.04,-0.02,0.61,0.69,0.33,0.19,0.17,0.08
,,,,,,,,,,,,,,,,,,
,DE-HI-DI,DE-ME-DI,DE-LO-DI,ME-HI-DI,ME-ME-DI,ME-LO-DI,SP-HI-DI,SP-ME-DI,SP-LO-DI,DE-HI-GO,DE-ME-GO,DE-LO-GO,ME-HI-GO,ME-ME-GO,ME-LO-GO,SP-HI-GO,SP-ME-GO,SP-LO-GO
reordered,0.15,-0.49,-0.47,-0.06,0.13,0.04,0.61,0.33,0.17,-0.19,-0.59,-0.53,0.11,-0.16,-0.02,0.69,0.19,0.08
,,,,,,,,,,,,,,,,,,
Counts,,,,,,,,Count,SS,df,MS,,,,,,,
m,a = density,b = traffic,c = visualization,,,T,,1,197.1685876,575,0.3429018915,,,,,,,
32,3,3,2,,,A,,192,46.83677398,2,23.41838699,,,,,,,
,,,,,,B,,192,13.90808191,2,6.954040957,,,,,,,
Means,,,,,,C,,288,1.212688906,1,1.212688906,,,,,,,
(ab),HI,ME,LO,mean,,AB Bet,,64,67.25485246,8,8.406856558,,,,,,,
DE,-0.02,-0.54,-0.50,-0.35,,A x B,AB-A-B,,6.509996569,4,1.627499142,,,,,,,
ME,0.02,-0.02,0.01,0.01,,AC Bet,,96,48.47472139,5,9.694944279,,,,,,,
SP,0.65,0.26,0.13,0.35,,A x C,AC-A-C,,0.4252585061,2,0.2126292531,,,,,,,
mean,0.22,-0.10,-0.12,0.00,,BC Bet,,96,15.60357244,5,3.120714487,,,,,,,
,,,,,,B x C,BC-B-C,,0.4828016176,2,0.2414008088,,,,,,,
(ac),DI,GO,mean,,,ABC Bet,,32,71.65841334,17,4.215200785,,,,,,,
DE,-0.27,-0.44,-0.35,,,A x B x C,ABC-A-B-C-AB-AC-BC,,2.282811846,4,0.5707029616,,,,,,,
ME,0.04,-0.02,0.01,,,Error,T-all,,125.5101742,558,0.2249286277,,,,,,,
SP,0.37,0.32,0.35,,,,,,,,,,,,,,,
mean,0.05,-0.05,0.00,,,ANOVA,,,,,,,,,,,,
,,,,,,Source of variation,SS,df,MS,F,P-value,F Crit,Evaluation,,,,,
(bc),DI,GO,mean,,,A (Density),46.8368,2,23.4184,104.1147,0,3.0119,Significant,,,,,
HI,0.24,0.20,0.22,,,B (Traffic),13.9081,2,6.9540,30.9167,0,3.0119,Significant,,,,,
ME,-0.01,-0.18,-0.10,,,C (Visualization),1.2127,1,1.2127,5.3914,0.0206,3.8582,Significant,,,,,
LO,-0.08,-0.16,-0.12,,,A x B,6.5100,4,1.6275,7.2356,0.0000,2.3879,Significant,,,,,
