,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observations,,σ = 0,σ = 1,σ = 2,σ = 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,-4.02,554.00,192.00,31.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,3.17,598.00,192.00,16.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subjects,,σ = 0,σ = 1,σ = 2,σ = 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,-1.39,14.00,3.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,1.12,18.00,1.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tukey λ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tukey's ladder of transformations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 = x²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 = x = no transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 = ln(x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1 = -1/x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-2 = -1/x²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
σ,-5,-4.75,-4.5,-4.25,-4,-3.75,-3.5,-3.25,-3,-2.75,-2.5,-2.25,-2,-1.75,-1.5,-1.25,-1,-0.75,-0.5,-0.25,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25
(observations),0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,16.00,24.00,31.00,43.00,63.00,84.00,84.00,93.00,101.00,101.00,128.00,111.00,66.00,66.00,57.00,32.00,21.00,10.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
σ,-5,-4.75,-4.5,-4.25,-4,-3.75,-3.5,-3.25,-3,-2.75,-2.5,-2.25,-2,-1.75,-1.5,-1.25,-1,-0.75,-0.5,-0.25,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25
(subjects),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,1.00,3.00,5.00,8.00,3.00,3.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
